@relation data_asso_v2

@attribute temperature {ML_T,M_T,HM_T,L_T,H_T}
@attribute pressure {HM_P,M_P,H_P,ML_P,L_P}
@attribute humidity {H_H,HM_H,M_H,ML_H,L_H}
@attribute classification {NO_RAIN,PRE_RAIN,RAIN}

@data
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,PRE_RAIN
ML_T,HM_P,H_H,PRE_RAIN
ML_T,HM_P,H_H,RAIN
ML_T,HM_P,H_H,RAIN
ML_T,HM_P,H_H,RAIN
M_T,HM_P,H_H,RAIN
M_T,HM_P,HM_H,NO_RAIN
M_T,HM_P,HM_H,NO_RAIN
M_T,HM_P,HM_H,NO_RAIN
M_T,HM_P,HM_H,NO_RAIN
M_T,M_P,HM_H,NO_RAIN
M_T,M_P,HM_H,PRE_RAIN
M_T,HM_P,H_H,PRE_RAIN
M_T,HM_P,H_H,RAIN
M_T,HM_P,H_H,NO_RAIN
M_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
ML_T,HM_P,H_H,NO_RAIN
M_T,HM_P,HM_H,NO_RAIN
M_T,HM_P,HM_H,NO_RAIN
M_T,HM_P,HM_H,NO_RAIN
M_T,HM_P,M_H,NO_RAIN
M_T,HM_P,M_H,NO_RAIN
HM_T,HM_P,M_H,NO_RAIN
M_T,M_P,M_H,NO_RAIN
M_T,M_P,M_H,NO_RAIN
M_T,M_P,HM_H,NO_RAIN
M_T,M_P,HM_H,PRE_RAIN
