@relation data_deci

@attribute y1 numeric
@attribute y2 numeric
@attribute y3 numeric
@attribute classification {NO_RAIN,RAIN}

@data
-739.1249,3645.4148,-887.9007,NO_RAIN
-740.1867,3643.7077,-888.28,NO_RAIN
-740.3945,3638.3465,-888.1129,NO_RAIN
-741.4255,3635.638,-889.8186,NO_RAIN
-742.1518,3634.2146,-888.1553,NO_RAIN
-743.0609,3629.7058,-888.0285,NO_RAIN
-742.6811,3632.4341,-888.6847,NO_RAIN
-745.0035,3633.743,-887.4817,NO_RAIN
-744.8288,3633.2142,-888.7189,NO_RAIN
-747.0827,3638.898,-889.1299,NO_RAIN
-748.9904,3640.3254,-890.045,NO_RAIN
-737.0327,3639.7812,-887.8632,RAIN
-736.7256,3638.2202,-885.1618,RAIN
-708.1922,3632.6461,-884.3082,RAIN
-695.9626,3629.932,-889.2656,RAIN
-677.7999,3639.494,-888.1487,NO_RAIN
-672.6747,3631.148,-888.3906,NO_RAIN
-658.0467,3634.5347,-886.353,NO_RAIN
-663.4209,3636.1487,-885.8707,NO_RAIN
-679.8794,3625.5512,-886.9354,NO_RAIN
-698.4311,3621.8381,-887.4346,NO_RAIN
-712.3743,3626.4244,-886.9796,NO_RAIN
-725.1339,3626.6384,-887.7029,RAIN
-726.7182,3632.3798,-887.5767,NO_RAIN
-728.2523,3626.2513,-889.9769,NO_RAIN
-731.1737,3627.351,-890.0643,NO_RAIN
-731.5181,3627.886,-890.419,NO_RAIN
-731.4892,3626.6296,-889.9192,NO_RAIN
-733.1666,3630.4725,-889.4274,NO_RAIN
-734.6938,3632.2249,-888.6257,NO_RAIN
-737.4672,3635.9683,-888.0735,NO_RAIN
-739.5042,3630.7008,-887.1547,NO_RAIN
-739.9504,3633.4196,-888.0074,NO_RAIN
-743.3976,3637.3937,-887.0965,NO_RAIN
-732.5528,3643.9235,-887.466,NO_RAIN
-718.1302,3645.0164,-888.2909,NO_RAIN
-694.7192,3650.3727,-887.785,NO_RAIN
-653.4949,3654.8715,-886.89,NO_RAIN
-617.3025,3681.4533,-882.6695,NO_RAIN
-605.1895,3664.4589,-878.2337,NO_RAIN
-619.9096,3659.6687,-880.7404,NO_RAIN
-632.2969,3650.4718,-883.1327,NO_RAIN
-658.1044,3647.0863,-881.5202,NO_RAIN
-684.5418,3636.3902,-882.7828,NO_RAIN
-707.0486,3632.4013,-883.3166,NO_RAIN
-721.804,3629.895,-885.1528,NO_RAIN
-735.497,3626.7552,-879.828,RAIN
-737.218,3628.2222,-882.6506,RAIN
-740.4045,3629.9853,-886.0082,RAIN
-742.3564,3629.4504,-886.0261,NO_RAIN
-741.519,3629.0885,-887.8206,NO_RAIN
-737.4346,3628.5695,-886.8854,NO_RAIN
-732.7978,3621.4566,-888.502,NO_RAIN
-732.7294,3626.2547,-886.4367,NO_RAIN
-734.8933,3615.8389,-887.7023,NO_RAIN
-734.445,3614.9591,-887.3327,NO_RAIN
-733.5533,3617.6071,-888.0729,NO_RAIN
-732.5177,3618.0238,-888.2786,NO_RAIN
-727.5321,3617.8002,-887.2535,NO_RAIN
-718.6159,3623.1559,-888.7273,NO_RAIN
-700.8248,3631.0307,-886.9585,NO_RAIN
-702.6813,3630.7478,-888.674,NO_RAIN
-712.2692,3619.5262,-876.6685,RAIN
-790.0224,3692.6795,-878.0018,RAIN
-797.1972,3673.9497,-833.1542,RAIN
-816.3853,3670.2354,-677.6717,RAIN
-813.1751,3691.1144,-853.2078,RAIN
-825.6394,3695.8264,-852.3162,RAIN
-818.1735,3695.2792,-873.9134,RAIN
-819.318,3695.5902,-881.4047,NO_RAIN
-824.7769,3698.3842,-882.2738,NO_RAIN
-827.0867,3701.3043,-877.8454,RAIN
-831.6466,3711.7697,-880.2238,RAIN
-833.3263,3711.7699,-881.7476,NO_RAIN
-833.1188,3708.9226,-881.5421,NO_RAIN
-834.4159,3711.2538,-881.0371,NO_RAIN
-840.7348,3719.9968,-879.601,NO_RAIN
-851.4457,3716.1901,-874.8298,RAIN
-853.9197,3716.2592,-873.9956,RAIN
-855.4283,3719.0763,-878.5993,NO_RAIN
-861.3192,3718.6503,-872.1263,RAIN
-859.582,3718.6775,-878.8969,RAIN
-859.6745,3723.6025,-879.8467,RAIN
-858.7155,3731.9769,-874.3223,RAIN
-857.4133,3726.9908,-846.4043,RAIN
-838.2936,3732.0932,-870.9648,RAIN
-839.7569,3735.5376,-881.1718,NO_RAIN
-826.9304,3747.5523,-877.2407,RAIN
-819.545,3741.7805,-878.1335,NO_RAIN
-807.2874,3736.6157,-878.6903,NO_RAIN
-802.6388,3731.2207,-877.7284,RAIN
-813.8837,3724.2892,-879.2475,NO_RAIN
-830.1032,3712.3341,-873.8263,RAIN
-834.2647,3715.6791,-879.8008,RAIN
-841.6036,3713.4925,-880.1731,RAIN
-843.7433,3715.7805,-881.6408,NO_RAIN
-843.4139,3715.0387,-883.0986,NO_RAIN
-844.4297,3717.4473,-883.3258,NO_RAIN
-842.0714,3715.0592,-884.187,NO_RAIN
-841.8776,3713.5109,-883.5573,NO_RAIN
-843.2444,3713.5078,-882.4167,NO_RAIN
-842.7499,3711.4284,-882.745,NO_RAIN
-843.446,3708.5109,-881.8759,NO_RAIN
-842.7138,3708.8814,-881.3198,NO_RAIN
-841.1194,3708.0456,-881.6396,NO_RAIN
-838.8027,3709.4151,-882.3287,NO_RAIN
-834.0418,3707.4178,-883.1948,NO_RAIN
-811.9691,3713.8054,-882.4196,NO_RAIN
-812.4975,3719.4879,-881.5491,NO_RAIN
-803.5905,3716.4262,-882.7983,NO_RAIN
-800.592,3707.8364,-883.4048,NO_RAIN
-783.4292,3711.3577,-882.9266,NO_RAIN
-757.6551,3713.7776,-880.5329,RAIN
-768.0342,3700.4514,-881.8207,NO_RAIN
-788.6054,3691.9631,-883.0252,NO_RAIN
-789.511,3688.5954,-881.5651,RAIN
-798.2668,3683.0031,-880.8418,RAIN
-798.3168,3679.2662,-882.9918,NO_RAIN
-804.1847,3680.6636,-883.89,NO_RAIN
-805.4275,3679.8285,-883.9321,NO_RAIN
-804.2815,3679.6466,-884.7897,NO_RAIN
-802.6644,3677.2213,-885.3789,NO_RAIN
-797.4434,3674.6446,-885.2148,NO_RAIN
-790.1325,3666.174,-886.5165,NO_RAIN
-790.9673,3666.2312,-886.0902,NO_RAIN
-789.3261,3663.3615,-886.0083,RAIN
-787.2796,3659.1621,-884.0842,RAIN
-785.4002,3658.1457,-886.0159,NO_RAIN
-784.5813,3657.9923,-885.8446,NO_RAIN
-784.9459,3659.1373,-885.5034,NO_RAIN
-778.0448,3660.1142,-886.7869,NO_RAIN
-755.3106,3658.2759,-886.8913,NO_RAIN
-719.208,3656.0229,-885.6728,NO_RAIN
-702.3028,3653.1159,-887.523,NO_RAIN
-700.4649,3649.0587,-888.3594,NO_RAIN
-681.8246,3638.6511,-888.0631,NO_RAIN
-685.6479,3634.3067,-887.1005,NO_RAIN
-657.9721,3643.1281,-884.6333,NO_RAIN
-649.8452,3645.2861,-883.4656,NO_RAIN
-682.8127,3616.3683,-882.6566,RAIN
-710.5273,3630.1274,-787.2695,NO_RAIN
-724.8822,3634.9969,-885.7101,NO_RAIN
-729.7136,3634.36,-884.7816,NO_RAIN
-729.7308,3638.2402,-886.752,NO_RAIN
-729.4805,3630.5844,-888.3906,NO_RAIN
-731.861,3632.8538,-888.5714,NO_RAIN
